글쓴이	날짜	조회수	추천수	댓글수	제목	URL	본문
알바자랑	2021.04.26 18:19	0	524	개의 댓글	우리 알바생 칭찬 ~	https://pann.nate.com/talk/359327084?page=2	오늘 우리 알바생좀 칭찬하려고 안쓰던 판을 써보네요 ㅋ 저는 이제 막 장사를 시작한 조그만한 가게 사장이에요 아직 부족한 것도 많고 하지만 배민을 하면서 일거리가 늘어나서 짧게짧게 파트타임으로 당빠어플 통해서 구인해서 알바생을 쓰고 있었어요 인건비도 무시할수가 없어서 길게 쓰지는 못하겠더라구요근데 최근에 정직원으로 알바생을 뽑게된 분이 계신데요 배민 리뷰나 이런 부분은 저도 부족해서 신경을 잘 못썻는데 이분이 리뷰도 신경써야 한다면서 저보다 더 신경써주시고 일도 경험이 많은 분이여서 그런지 잘하시더라구요 그흔한 지각도 한번 없구요 코로나로 힘들지만 이런분이면 함께 커나가도 되겠다 싶어서 정직원으로 일해보시면 어떻겠냐고 제안드리니 정말 저보다 더 열심히 해주셔서 너무 감사하네요 장사하시는 사장님들 요즘 많이 힘드시지만 좋은 일도 생깁니다. 힘내세요 ~
앗	2021.04.23 00:00	0	400	개의 댓글	왕따트라우마라고해야하나요?	https://pann.nate.com/talk/359249262?page=2	전 30대 초반 아이가 둘 있는 애엄마입니다. 그냥 저처럼 왕따 당하신 분들 아직도 트라우마가 남은 분들계신가 궁금해서요  살면서 처음 17살에 왕따란걸 당해보았는데 그전엔 친구관계에 대해서 문제가 있던 적은 없었어요  처음 고등학교 올라가서 친해진 무리에서 친하다고 생각했던 친구가 저에대한 험담을 하고 하지도 않았던 짓을 했다고 거짓말 하는바람에 반에서도 왕따 그 무리들이 동아리도 들어가있다보니 전교에 소문이나서 전따가 되었다가 저 이후로 그 무리에서 하나 둘 왕따가 계속 나오더니 결국 저를 왕따 시켰던 아이가 마지막으로 왕따가 되었네요. 그때 같이 저를 왕따 시켰던 열댓명친구들에게 미안하다 오해였다는 말을 들었지만  저는 그때 전교에 소문이 다 나서 지나갈때마다 모르는 친구들이 저를 가르키며 욕을하고 제가 지나가면 제귀에다 욕을하고 그랬거든요. 학원가서 다른학고 친구들을 사귀게 되어도 결국 저도 모르는 저희학교학생이 제얘기를 해서 잘지내다가 다른학교 친구들이랑도 다 멀어졌던거같아요. 저는 그때 분명 아니다 난 그런적 없다했디만 저를 외면하고 같이욕했던 그 친구들 나중가서 미안하다 너말이맞았다는 말을 듣는데 얼마나 가증스럽던지....  처음인생에서 제일 힘들었던 시간이였던거같아요    그뒤로 사람들과 마음의 벽을 두고 살고있어요 상처받기 싫어서요... 그이후론 전따까지는 아니지만 그냥 한두명과 친하게 지내고 고등학교 졸업하였네요.  대학가서도 그냥 별탈없이 잘 지냈구요.  근데 가끔씩 훅올라와요  오늘도 진짜 뜬금없이 필라테스 1:1로 강습받는 선생님인데  오늘따라 기분이 언잖으신지 말도 잘 안하길래 기분이 안좋으신가 싶다가 갑자기 내 안좋은 소문을 들었나?  이런 생각이 드는거예요.. 저 결혼하고 친정동네에서 먼곳에서 사는데도요...ㅎㅎ 이런게 가끔 한번씩 올때마다.. 진짜  제가 정말 싫네요... 그냥 그 사람이 연락이 늦으면 내가 뭘 잘못해나 하는 생각도하구요ㅎㅎ 막상 그냥 늦게보낸건데 생각이 많ㅇㅏ지는 제가 정말 싫네여.....
의료사고	2021.04.20 10:01	0	567	개의 댓글	ㅂㄷs대 의료사고 입니다 꼭 읽어주...	https://pann.nate.com/talk/359200620?page=2	현재 (4월 19일) ㅂㄷs대병원 응급실 입원중인 환자 보호자 입니다 억울하여 글을 씁니다  환자는 3월 22일 MTX 주입을 위한 오마야 수술을 하기위해 3월 21일(일요일) 입원 후 22일 (월요일) 에 오마야 수술을 받았습니다. 이수술은 하루 이틀에서  삼사일이면 멀쩡히 퇴원하고 첨에 병원서도 삼사일걸린다 했던 수술입니다  비록 암투병 환자였지만   입원당일까지 성실히 자기일하며  컴퓨터 작업하고 수술전까지 말은 물론, 사진찍어 보내주고 문자까지 다 하던 사람이였습니다. 그러나 23일(화요일) 새벽 4시경 의식을 잃은 후 반 식물상태가 되었습니다. 간단하단  그 수술후 의식이 혼미 해져 수술전 잘먹던 음식도 사레로, 극심한 기침, 가래가 생겨 호흡곤란에 흡인성 폐렴까지 생겼습니다. 눈동공이 풀리고 허공으로 향하며 한쪽 눈을 못뜨고 또한 말을 거의 하지 못하고 의식도 혼미할때가 다반사상태가 되었습니다  이 모든 상황이 오마야 수술 이후 생겼습니다. 보호자 는 분명 의료사고라 보고 이에 병원측에 진상 조사를 촉구중이나 이런것이 환자보호자 입장에 얼마나 힘들것인지 알기에 파급력 있는 네이트판에 올리게 되었습니다   아직 한창 일할나이 56세입니다 삶에 대한 의지도 강했기에 수술도 받았습니다 모든것이 간단하다던 그수술 이후 이렇게 되었습니다 이글이 많이 퍼질수 있도록 부탁드립니다  지인입니다 두서없는 글 읽어주셔서 감사합니다  https://www1.president.go.kr/petitions/Temp/CzD74N 청와대 청원싸이트 입니다 동의 부탁드립니다  도와주세요
쓰니	2021.04.19 01:24	0	430	개의 댓글	심심한데 설레는 썰이나 꿈좀...	https://pann.nate.com/talk/359176376?page=2	심심한데 설레는 썰 이나 꿈얘기 부탁해!!!
인천1호선귤현역	2021.04.17 10:22	0	572	개의 댓글	인천1호선 귤현역 역무원님과...	https://pann.nate.com/talk/359137681?page=2	안녕하세요~  좋지 못한 사회적 이슈로 마음이 답답한 요즘 훈훈한 소식 함께 공유하고 싶어 글 올립니다.    4월 8일(목) 5시 40분경 근무하셨던 귤현역 역무원님과 당일 귤현역으로 지원 나오셨던 부평역 역무원님께 감사인사드립니다.  저는 발달장애 아들을 둔 엄마입니다. 고등학교 2학년인 저희 아이는 작년부터 매주 목요일마다 신방화역-가양역까지 볼링장을 다녔습니다. 한동안 시행착오를 몇번 겪기는 했지만, 잘 다녀줘서 마음을 놓고 있었는데, 코로나로 인해 5개월 정도 쉬다가 지난주(4/8) 다시 혼자 길을 나섰습니다.  그날 저희 아이는 신방화역에서 가양방면이 아닌 김포공항 방면 열차를 탑승했고, 아빠와 통화중에 반대로 가고 있는 것을 인지하여 김포공항에 내렸습니다. 당황한 아이는 반대열차를 타면 다시 제자리로 간다는 생각에 9호선과 마주보고 있는 "공항철도(인천공항방면)"에 탑승하였고, 이번엔 엄마와 통화를 하다가 잘못탄 것을 인지하고 계양역에 내렸습니다. 반대방향열차를 타야한다는 생각에 아이는 다시한 번 반대방향으로 가기위해 이동하는 중 환승(인천철도 1호선)을 위해 움직이는 사람들의 무리에 이끌려... 공항철도가 아닌, 인천철도 1호선을 타게 되었습니다. 엄마는 아이와 통화하며 귤현역이라는 안내방송을 들었는데.. 하차하면서 아이와 전화가 끊겼고, 그 후 전화를 받지 않았습니다. 아빠는 무작정 귤현역으로 출발하였고, 처음 보는 역에서 도움을 청하지도 못하고 당황할 아이를 생각하니 숨이 멎는 것 같았습니다.  발만 동동구르다가.... 무작정 귤현역에 전화를 걸었습니다. 아이의 인상착의를 설명하고 전화번호를 남기고 빨리 찾아봐달라고 앞뒤없는 부탁만하고 저는 아이에게 계속 전화를 걸었습니다. 10여분쯤 후에 아이의 전화가 연결되었고, 전화기 너머로 아이와 대화하는 역무원님의 목소리가 들렸습니다.  "가양역에 가려면 어떻게 가야해요?" "여기서 계양역 가는 지하철을 타고, 한 정거장 내려서 공항철도를 갈아탄다음 김포공항에..... 9호선 가양역에 내리면 되요~알 수 있겠어요?" "네~ 근데.. 잘 모르겠어요.." "그러니까.. 여기가 귤현역인데.. 여기서 지하철을 타고 한 정거장만...."  아이의 반복되는 질문에도 몇 번이고 친절하게 설명하는 소리를 들으며 혼자 웃음지었습니다.  아이 아빠가 귤현역에 도착하였고, 아이는 역무원아저씨와 함께 다니며 무전기 놀이를 했다고 하였습니다. 퇴근시간이라 바쁘고 정신없으셨을텐데.. 발달장애인임을 알고도 당황하지 않도록 눈높이에 맞춰 상호작용해주신 역무원님과 공익근무요원님께 정말 감사인사를 드립니다.  성함을 정확히 알지 못해 이렇게라도 이 곳에 글을 남겨봅니다.  얼마전 발달장애인 실종사건 후 좋지 않은 결과로 인해 발달장애인을 아이를 키우고 있는 부모들은 참 많이 불안합니다. 아이들의 자립을 위해 여러가지 시도를 해보지만, 돌발상황에 대처할 수 없는 장애특성에 난감한 일도 한 두 번이 아니지요... 귤현역 역무원님처럼 아이들에게 안전한 환경이 많아지길 기대합니다.   마지막으로 주로 이용하시는 지하철이 귤현역 또는 부평역일 경우 역무원님께 응원과 칭찬 꼭 부탁드려요..^^  항상 행복하세요....
행복이야기	2021.04.12 18:15	0	399	개의 댓글	내 인생의 소중한 시간들~	https://pann.nate.com/talk/359043157?page=2	♥ 내 인생의 소중한 시간들 ♥  어느 때인가 내 인생의 소중함을 깨닫게 되었을 때 바람에 떨어지는 나뭇잎 길가에 피어 있는 작은 꽃 작은 돌 하나까지도 내게는 다 삶의 의미가 되었다.   그 중에서도 내 인생의 가장 큰 의미는 내 이웃들 슬픈 이 기쁜 이 외로운 이 미운 이 착한 이 가난한 이 이 모두는 내 삶의 이유이다..   내 소중한 이웃이 없다면내 인생은 무슨 의미가 있을까..? 사랑하고 미워하고, 함께 울고 웃고 괴로워할 수 있기에 내 인생은 진정한 의미가 있다.   그리고 이 모든 것이 내 삶을 풍요롭게 해 주는 것이다.   아! 그러나 이 소중한 삶의 시간들은 너무도 짧다. 한정돼 있는 것 같다.   아름다운 삶의 순간 순간이 시간속에 묻혀가는 것을 느끼며 나는 안타까움에 가슴을 졸인다.   더 사랑해야지 더 크게 웃고 사랑해야지..... 이 귀한 삶의 시간들이 그냥 소홀히 지나쳐가지 않도록.....  - 좋은글 中에서 -------------------------------(카카오톡 공유가능) ↓★ 엄성된 좋은글,명언 더 알아보기 ★ 건강,힐링,성공지혜 더 알아보기 ※ "행복이야기" 카톡 친구하기
삐뽀	2021.04.11 23:58	0	371	개의 댓글	빨리 조카 급해 얼불춤 하는사람	https://pann.nate.com/talk/359026922?page=2	얘들아 내가 조카 급한데 그 스팀게임중에 따라라라란 따라라라란 따라라라따라라라라라란 딴딴 딴딴딴딴 딴딴딴딴 딴딴딴딴딴. 이러는 노래 이름이 ㄴ뭐야 ?
ㅇㅇ	2021.04.09 20:34	0	555	개의 댓글	김치붙임게 먹었는데 개맛있다	https://pann.nate.com/talk/358979765?page=2	ㄹㅇㄹㅇ개꿀맛
원미미	2021.04.01 22:47	0	397	개의 댓글	[신천지 온라인 성경 세미나] 천국...	https://pann.nate.com/talk/358821354?page=2	[신천지 온라인 성경 세미나] 천국비밀이 열렸다?​​​안녕하세요~~+​요즘 코로나로 비대면 온라인 강의들이 많이 뜨고 있습니다.벚꽃이 흐드러지게 피기 시작한 요즈음 *꽃소식처럼 화안한 기쁜 소식이 있어서 알려 드립니다.집콕 방콕 시대에신앙인들에게 참빛의 역사인 열린 계시 말씀을 전해드릴까 하여바로 신천지예수교회 서울야고보지파에서 말씀 세미나를 준비하였답니다.​​"순간의 선택이 영원을 좌우한다"​​​오늘날 수 많은 신앙인들이 다니던 교회에서 신천지로 몰려오는 이유는?​그 비결에는 어떤 것이 있을까요?교계의 방해에도 불구하고 신앙인들이 신천지를 선택하는 것은 그만한 매리트가 있기 때문이지요?저는 바로 "말씀"에 그 비결이 있다고 생각합니다.왜냐면 제가 직접 보고 듣고 경험했기 때문입니다.​​자기 고집 피우지 말고! 색안경도 끼지 마시고!!물론 기존 교계에서는 신천지 교회에 대한 각종 선입견으로 바라보시는 분들이 많으신데요.하지만 수박도 쪼개어 그 맛을 봐야만이 비로서 어떤 맛인지 알 수 있지 않겠는지요?하나님의 말씀 또한 열린 계시말씀을 맛보아야 때를 따른 양식임을 알 수 있기 때문입니다.​제가 경험했던 신천지는 소위 세상에서 말하는 그런 곳과는 거리가 멀어도 아주 멀었습니다.​​​​하여 직접 내 눈으로 보고 듣고 확인!해보는 것이 가장 현명한 방법^^!​특히 신천지는 계시록의 예언이 이루어진 실상 계시말씀을 성경에 입각하여 육하원칙으로교회들에게 전하고(계22:16) 있습니다.​아무래도 기성교회와는 깊이 있는 말씀의 차이로 인해 교리가 다소 이상하게 느껴질 수도 있겠지만, 성경에 예언된 말씀이 성취되어 실상으로 나타난 계시말씀을 전하니성경의 오묘하고 하나님의 깊은 뜻을 깨달을 수 있는 참 진리의 말씀이랍니다.​시온선교센터에서 창세기부터 요한계시록까지 성경 66권을 깨닫고 난 후엔 신천지에 대한 선입견이 눈 녹듯 사라지게 된답니다.​물론 6개월 과정을 통해 깨달은 깊이 있는 말씀을 이웃님들께 다 전하기는 어렵지만, 신천지예수교회는 누구나 오셔서 말씀을 직접 보고 듣고 판단하실 수 있도록 문을 활짝 열어두고 있습니다.​하여 이번에 신천지 서울야고보지파에서 야심차게 여러분들을 위해 준비한 귀한 [온라인 성경말씀 세미나] 소식을 알려드리는 바입니다.신천지에 대한 선입견 따위는 잠시 내려두시고 직접 보고 듣고 깨달아 천국 소망 이루시는 천국 백성이 되시기를 간절히 기도하겠습니다.​​​​
행복이야기	2021.03.31 18:41	0	402	개의 댓글	내 마음 안에 부는 바람~	https://pann.nate.com/talk/358795248?page=2	♥ 내 마음 안에 부는 바람 ♥한 곳에 가만히 뿌리내리고진득하게 서 있고 싶은데불어오는 바람 탓에자꾸만 휘청거리고 넘어졌다.   태풍이 지나간 후정신을 차리면 낯선 곳이기도 했다.   한자리에서 안정감을 바라던 나는 바람을 원망했다.저 바람만 불지 않으면난 흔들릴 일이 없을텐데   이리저리 불안하게날아다니는 것을 반복하던   어느 때,  나는 운 좋게도 바람이 불지 않고비옥한 땅 위로 올 수 있었다.이제 내가 그동안 바라던 대로한곳에서 안정적으로 서 있으면 되는 것이다 .  하지만 나는 그곳에서도 종종 흔들렸다.바람이 불었나 싶어 고개를 돌려보면어디에도 바람의 흔적은 없었다.  흐트러짐 없이 안정적으로 서 있는 이들 옆에서 나 혼자만 휘청 거리니 그 움직임은 크게 보였고바람 탓을 할 수도 없었다.   그제야 나는 알았다.  나를 흔들었던 건 밖에서 불어오는 바람이 아니라내 마음 안에 부는 바람이었다는 것을.   그것을 알고 난,지금도 여전히 곧잘 흔들리지만  그럴 때마다 이젠 밖을 둘러보지 않고마음 안을 살핀다 .  마음에 이는 바람이 나갈 수 있게길을 터고 기다릴 수 있는 여유와덤덤함이 생겼다.  잠시 흔들릴지언정내가 서 있는 곳을 지킬 수 있게 되었다. - 민미레터, '쓰다듬고 싶은 순간' 중에서 -------------------------------(카카오톡 공유가능) ↓★ 엄성된 좋은글,명언 더 알아보기 ★ 건강,힐링,성공지혜 더 알아보기 ※ "행복이야기" 카톡 친구하기
조나단	2021.03.31 13:41	0	469	개의 댓글	끝내야 할 시간...	https://pann.nate.com/talk/358791490?page=2	이제 외로운 감정 그만 접어보려고요... 내가 겪은 일들이 다 허구였다 믿고, 그렇게 살면 접어지겠죠...
뚜렛	2021.03.29 14:57	0	606	개의 댓글	옆집에서 미사일터렛을쏴요	https://pann.nate.com/talk/358755684?page=2	너무합니다.무지한걸까요?심각한 사안입니다. 이사오기전 분명희 합의했습니다.심도있는 고민에 빠져있습니다.하루에 한번이상 미사일터렛발사안하기로분명희 말했습니다.당최 말을 들어먹질않고 하루에도 3회이상씩 미사일터렛을 발사합니다.배임혐의와 사기죄로 고소고발 가능한가요?도가 지나쳐도 너무 지나칩니다.고로나는 고발하겠답니다. 프로토스무시하는건가요. 나는분명히경고했답니다.고치시길간절히 기원했습니다.
안녕하세요	2021.03.29 03:14	0	1,260	개의 댓글	장례식 가서 부조안했어요	https://pann.nate.com/talk/358750054?page=2	안녕하세요  장례식 복장때문에 올리신글을 뿜에서 보고   제사연도 다른분들이 보았을때 어떠한지 궁금하여 적습니다 저는 엄청 짧은 내용이긴한데  하지만 넘 궁금하여 다른분들은 어떠하실지..   친구어머니가 돌아가셨는데  사실 친구에 친구이고 사실 15년은 보았지만 연락쳐모르고 20살때 두세번 25살때 두세번  30살때두세번보고 그리고 본적이 없는거같습니다.  그리고 저는 집도 못살지만 회사 그만두게된지 1년이 넘은 상태입니다 혼자살지만 여유가 많이 없어서(부모님한테는 말을 못함) 밥도 이틀에 한끼먹거나  이마트편의점에 가면 개당400원인가 아마 390원정도 할겁니다 그거로 하루 한두개먹거나 먹는 방법도 알아내서  양배추로 배채우거나 합니다 그럼 안고파요  이쯤읽으면 대충 나이쯤 저사람모했지? 싶겠지만 월급250받으면 보험료61만원즈음내고  나머지 적당생활비 제외하고  매달 120씩은 저금해서 1억5천은 이미 모았지만 안좋은 일로 한방에 날아갔죠.(주식 그런거아닙니다)  암튼 저게 주얘기가 아니고 장례식 얘기이니,  얼마전 친구에 친구어머니 돌아가신 얘기를  친구랑톡하다 알게되고  다른곳에 있다가 새벽에 갔습니다  왠지 안친해도 그래도 얼굴은 아는데 가야지 라 생각해서 갔습니다  그리고 한시간반정도있다왔습니다  저는 이미 아침부터 밖에있었고 많이 피곤했고. 하지만 그런일에 피곤함이 큰일은 아니죠.   이게 끝입니다 근데 머가 문제인가싶겠죠?   저는 부조를 안했습니다  정말 천원도 없었거든요.  아니 천원은 있었을겁니다. 근데 몇천원 1-2만원하기도 그렇고.  통장에는 정말 0원으로 되어있습니다. 지금도 머하나 돈들어오면 바로 다없거든요..   시간이 조금흘러 제친구에게 얘기들었습니다  너 걔한테 부조안했어? 응.  걔가 엄청 머라했다고. 아니 섭섭했다 그랬나..  저도 그게 어떤의미인지는 아는데  회사다녔을땐 전혀 안친한  친구,지인,얼굴아는모든사람들 장례식 결혼식은 다갔던거 같습니다  지금은. 제가 상황이 너무 안좋네요.  두서없는 제글이 너무 길었습니다   제가 너무 잘못했나요 또 괜한짓을 했구나 싶은 깊은 생각이 들었지만 후회하면 너무 늦더라고요. 머든.
수글	2021.03.28 23:32	0	425	개의 댓글	봉사는 마음에서 나오는게 맞는거 같다.	https://pann.nate.com/talk/358743850?page=2	현재 중학교 2학년 여학생입니다. 저희 반에는 지적 장애인 한명이 있는데 그 아이를 A라고 할게요. A는 비장애인인 저희처럼 근육에 힘이 없어 혼자 중심을 잡고 서있지 못해 비틀거리며 겨우 서 있어요. 그런데 저희 반에는 희정이를 도와주는 도우미 2명이 있어요. 그 2명 중 이번 이야기의 주인공인 아이를 B라고 부를게요. A의 도우미 2명을 뽑을때 봉사시간 5시간을 준다길래 저는 신청한 두 친구가 봉사시간을 받으려고 하나보다. 라고 생각했어요. 근데 어느날 일어난 한 사건으로 제 잘못된 인식과 생각이 고쳐지는 계기가 되었습니다.  때는 수학시간이였어요. 학교에서는 코로나때문에 모든 창문과 교실 문을 열고 수업을 받아야했었죠. A는 맨 뒷자리 고정이였는데 평소와 다름없이 교실 곳곳을 돌아다니던 A는 문 밖으로 나가 계단을 내려가려고 했어요. 도우미인 2명은 얼른 달려나가 A를 막아섰어요. 그래서 저는 '알아서 대려오겠지.'라는 생각과 함께 공부를 하고있는데 밖에서 쿵 하는 큰 소리와 함께 도우미중 한명이 반으로 급하게 뛰어들어와 선생님께 "B가 계단에서 떨어졌어요" 라며 소리쳤습니다. 놀란 선생님과 저희는 얼른 계단으로 뛰어갔고, 계단 아래에는 교복 셔츠가 살짝 피로 물든 B가 A를 껴안고 누워있었어요. 선생님은 놀라 B에게 다가가 보건실로 대려다 주신다고 했지만 B는 A를 먼저 챙겨달라며 몸을 이르키며 선생님께 말했어요. 그렇게 선생님은 A를 대리고 특별반으로 내려가셨고, B는 친구들의 부축을 받으며 보건실로 내려갔어요. 상황이 진정되고 B와 같이 도우미를 하던 친구에게서 상황설명을 들었어요. 계단으로 내려가려는 A를 B가 막아섰지만 생각보다 쎈 A의 힘에 B가 계단으로 밀쳐지며 중심을 잃었고 그와 동시에 A도 B의 위로 떨어졌는데, B가 순간적으로 팔을 뻗어 A를 감싸 안았고 자신의 등으로 떨어졌다는 이야기였어요. 다행히 B는 등이 까지고 갈비뼈가 살짝 나간것 빼고는 크게 다치지 않았다고 하더라구요.  이 사건을 통해 제 삐뚤어진 생각을 바로잡을 수 있었고, 봉사는 정말 사람 마음에서 우러나와야만 할 수 있다는것을 알 수 있었어요. 이후에 B는 학교에서 상장을 받았고, 다행히 지금은 완벽하게 회복하여 밝은 모습으로 학교생활을 하고 있답니다!
왠지타코야키가맛있더라니	2021.03.28 01:34	0	547	개의 댓글	해방직후 일본에서 한국으로 시집온 ...	https://pann.nate.com/talk/358723389?page=2	유튭 에 있는 민족 뿌리찾기 영상보고  할머니 생각나서 끄적여볼께  그리고 나 다이어트중 이라 예민하니 반말체로 간다ㅎㅎ  우선 할머니는 해방 직후 15살 의 나이로 일본에서 한국으로 시집오셨다    이시카와현 출신이시고  마을에는 일본인과 조선인이 거주하던 곳도 달랐다고 했다 당연히 할머니는 일본인들 만 모여살던 곳에서 거주하고 계셨고  조선인들의 부락은 따로 떨어져  있었으며  종종 친구들이랑 조선인들의 생활이 신기해 구경하러 가시기도 했다고 하셨다  학교에서는 일본인 과 조선인 자리는 나뉘었는데 할머니는 일본인 자리에 앉아 교육을 받았고 슬프지만 할머니는 조선인 학생들을 다함께 놀리고 이지메 도 하셨다고 했다  어느날 방과 후 집에 돌아와보니 집에 왠 조선인 소년이 있었고 할머니의 아버지 께서 그 소년과 조선말로 대화를 하고있어서  여기서 1차 충격을 받았다  “우리 아버지가 조선말을 어떻게 아시지?”  살면서 처음 본 모습이셨다고 했다    둘의 대화가 조금 지나 할머니를 불러 앉혀  “아버지는 조선인이다 그러니 너도 조선인이니 조선에 시집을 가야한다” 라는 황당한 말을 들었고  하늘이 노랗다는 한국말이 그때의 심정 이라고 하셨다    우리 아버지는 일본이름과 일본국적인데 왜 조선인이라고 하실까   그러면서 친구들과 조선인 부락에서 본 것들이 생각나면서 왜 하필 조선에 시집을 가야할까 라고 생각하셨다고 했다   그렇게 처음 입어보는 치마 저고리를 입고 부산항으로 향하는 밀항선에  타셨다  배 에서는 몽둥이를 든 사내들이 있었고 탑승자들에게 말을 걸어서 일본인 이라는것이 탄로나면 매질을 했다고 하셨다  그 모습을 보고 너무 무서워서 구석에 쪼그려 앉아 울고만있었다   물론 옆에는 우리 할아버지가 있었지만  2살 많은 이 남자가 전혀 믿음직스럽지않게 느껴졌다고...ㅎㅎ  더욱 무섭고 배 안에서 내가 이 사람과 함께 살수있을까 하며 자신의 아버지를 계속 원망하셨다고했다    몽둥이를든 사내들의 국적확인은 어김없이 할머니에게도 찾아왔는데  할머니에게 무어라 말을 했으나 알아듣지를 못하니 가만히 있었다고 했다    근데 그 옆에 함께 쭈그려 앉아있던 어느 조선인 아주머니가 그사내들에게 무어라 했고 할머니의 머리와 등을 쓰다듬으면서  ‘워후후 워후후’ 같은 소리를 내셨다고   그러자 그 사내들은 옆에 있던 할아버지에게로 넘어갔다  후에 할아버지가 말을 해주어서 알게된 사실인데  아주머니께서  " 야는 내 딸인데 배를 처음 타봐서 멀미가 심하다”  라고 말하셨다더라   아직까지도 그 아주머니께 너무 너무 감사한대 그때 말을 못해서 죄송하다고 입버릇처럼 말씀하셨다  그렇게 부산항에 도착했고 처음 본 부산의 모습은 길거리에는 똥이 가득했고 그 똥 옆에서 바닥에 앉아 음식과 물건을 파는 모습들을보고   나는 정말 이곳에서 살 수 없다고 생각하면서 울면서  할아버지를 따라가셨다  후에 야간어학당 시부모님께 부엌일 배우는 썰도 있는데   반응좋으면 나중에 한번 써볼께   나 잔다 잘자 다들
조나단	2021.03.26 19:46	0	419	개의 댓글	이번 라일락은	https://pann.nate.com/talk/358693242?page=2	못보겠다....... 미처미처미처!!!!   ㅡㅡ  그냥      덤벼랏!!!!!  땡!
틴탑천지	2021.03.24 15:11	0	4,565	개의 댓글	틴탑 이찬희 학창시절 썰	https://pann.nate.com/talk/358652234?page=2	난 성지고 12년도 남자졸업생임. 그 중에 동창생이었던 틴탑 이찬희 썰 풀어줌.요즘들어 연예계 왕따사건으로 문제가 많은데, 내가 지금 쓰는 글은 그런거랑 전혀 관련 없음.성지고, 말만 들어도 문제 많아보이지? 맞아, 문제 많지.나도 뺑뺑이 때문에 어쩔 수 없이 성지고를 입학하게 되고, 진짜 세상 다 잃은 사람처럼 살았음.학교안에서 대놓고 담배피고, 사건사고가 없던 날이 없었음. 니들이 아는 그대로 양아치천국이였음.그와중에 진짜 내가 동경하고 나의 성정체성을 혼란을 줬던 애가 있었음. 그게 이찬희임ㅋㅋㅋㅋㅋㅋㅋㅋ ㄱ그 애랑 복도에서 마주 친 순간, 살면서 처음 느낀 감정이었음그 뒤로 그 애를 무의식적으로 유심히 관찰하게 됨.. 집가서 밤마다 깊은 혼동에 빠지면서 울었던 적도 있음. 내가 설마 게이인가... 하면서ㅋㅋㅋㅋㅋㅋㅋㅋㅋ참,,, 10년지기 친구한테 얘기하니까 게이색히라고 하면서 놀림 받고 그랬음..근데 알고보니까 나만 그랬던게 아니었더라고.. 점심먹을때 보이면 나도 와 진짜 곱다 라고 생각하는데 옆에서 밥먹던 애들도 예쁘게 생기긴 했다하면서 거의 이찬희한테 시선이 쏠렸음. 자긴 알까.. 이런 시선으로 애들이 바라보고 있다라는 거를,,그냥 이찬희는 생긴게 잘생기고 왠만한 여자애들보다도 예쁘게 생겨서 남녀노소 안가리고 인기가 많았음ㅋㅋㅋㅋ이찬희는 성격도 털털하고 친화력도 좋아서 사람들이 좋아할 만한 성격 딱 그런거임,또 생긴거와 달리 남자다운 모습도 있었고, 애교는 없는데 존재자체가 애교인 사람ㅋㅋㅋ이런 호랑이 굴속같은 학교에 왠 쪼만하고 예쁜 토끼 한마리가 있지? 약간 이런 느낌임.난 지금까지 살아오면서 같은거 달려있는 남자애한테 설랬던 건 처음이야,, 나 여자 좋아해근데 그걸 항상 혼란을 주던게 이찬희였음. 어느정도냐면 내가 중학생때는 그래도 카사노바라는 별명이 있을만큼 여자애들 많이 만나고 그랬는데, 고등학교에서 이찬희를 보고 난 후로 3년동안 연애 못함.. 당연히 3년동안 나한테 고백하는 여자애들도 있었지 내가 누구 외모 평가할 처지는 아니지만 다 오징어로 보이는 거임난 걔랑 친해지고 싶어서 발악을 했는데, 아이돌 준비중이라서 얼굴보기 힘들었음.그러다가 데뷔한다는 소식을 접하고 나서 난 틴탑 천지 남팬됨진짜 내가 성격이 ㅈㄴ소심해 제일 후회되는 거는 3년동안 이찬희한테 말 걸어본게 안녕 이 한마디가 처음이자 마지막임틴탑 천지는 날 기억할라나 모르겠지만 난 아직도 널 못잃어이런 글쓰는 내가 더럽다고 느껴지시는 분들이 있을 수도 있어,,하지만 너네가 이찬희를 실제로 봐바 내가 안그러게 생겼나..같은 동창생들중에서 내가 아직도 만나는 애들이 5명인데 만나면 다 이찬희 얘기해 아 찬희 이랬지.. 저럈지.. 하면서ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ주접이라 욕해도, 더럽다고 욕해도 좋습니다. 전 굴하지 않고 찬희를 사랑할 겁니다.
